trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,urban_015.jpg,indoor_010.jpg,background,contrary,img_right,background_contrary_R
2,nature_006.jpg,indoor_001.jpg,size,small,img_left,size_small_L
3,indoor_015.jpg,nature_013.jpg,form,symmetrical,img_right,form_symmetrical_R
4,urban_011.jpg,nature_002.jpg,size,big,img_left,size_big_L
5,nature_015.jpg,urban_003.jpg,form,symmetrical,img_right,form_symmetrical_R
6,indoor_011.jpg,nature_003.jpg,form,symmetrical,img_left,form_symmetrical_L
7,indoor_010.jpg,urban_013.jpg,form,asymmetrical,img_left,form_asymmetrical_L
8,indoor_006.jpg,nature_005.jpg,background,dominant,img_left,background_dominant_L
9,nature_012.jpg,indoor_012.jpg,background,contrary,img_right,background_contrary_R
10,urban_006.jpg,nature_001.jpg,size,small,img_left,size_small_L
11,urban_004.jpg,nature_014.jpg,size,small,img_right,size_small_R
12,indoor_012.jpg,nature_012.jpg,none,none,img_left,baseline_indoor-nature_R
13,indoor_015.jpg,urban_012.jpg,form,symmetrical,img_left,form_symmetrical_L
14,indoor_006.jpg,urban_004.jpg,form,symmetrical,img_right,form_symmetrical_R
15,nature_002.jpg,indoor_010.jpg,form,asymmetrical,img_left,form_asymmetrical_L
16,nature_015.jpg,urban_013.jpg,form,symmetrical,img_right,form_symmetrical_R
17,nature_004.jpg,urban_006.jpg,form,asymmetrical,img_right,form_asymmetrical_R
18,nature_015.jpg,indoor_003.jpg,form,symmetrical,img_right,form_symmetrical_R
19,indoor_001.jpg,nature_006.jpg,background,contrary,img_left,background_contrary_L
20,indoor_010.jpg,urban_005.jpg,size,small,img_right,size_small_R
21,indoor_011.jpg,nature_012.jpg,background,dominant,img_right,background_dominant_R
22,nature_005.jpg,indoor_005.jpg,none,none,img_right,baseline_nature-indoor_L
23,indoor_012.jpg,nature_007.jpg,size,small,img_left,size_small_L
24,nature_013.jpg,urban_013.jpg,size,small,img_right,size_small_R
25,nature_015.jpg,urban_008.jpg,form,symmetrical,img_right,form_symmetrical_R
26,indoor_009.jpg,urban_004.jpg,background,contrary,img_right,background_contrary_R
27,indoor_012.jpg,nature_010.jpg,form,asymmetrical,img_left,form_asymmetrical_L
28,nature_010.jpg,urban_015.jpg,background,contrary,img_left,background_contrary_L
29,indoor_006.jpg,nature_003.jpg,form,symmetrical,img_left,form_symmetrical_L
30,nature_012.jpg,indoor_007.jpg,size,small,img_left,size_small_L
31,urban_001.jpg,nature_003.jpg,form,symmetrical,img_left,form_symmetrical_L
32,nature_006.jpg,indoor_001.jpg,background,contrary,img_right,background_contrary_R
33,indoor_004.jpg,urban_005.jpg,size,big,img_left,size_big_L
34,indoor_009.jpg,urban_008.jpg,background,dominant,img_left,background_dominant_L
35,nature_006.jpg,indoor_004.jpg,form,asymmetrical,img_left,form_asymmetrical_L
36,indoor_011.jpg,nature_011.jpg,none,none,img_left,baseline_indoor-nature_R
37,indoor_002.jpg,urban_002.jpg,none,none,img_right,baseline_indoor-urban_L
38,urban_008.jpg,indoor_002.jpg,background,dominant,img_left,background_dominant_L
39,indoor_002.jpg,nature_007.jpg,size,small,img_left,size_small_L
40,indoor_008.jpg,nature_013.jpg,size,small,img_left,size_small_L
41,indoor_005.jpg,nature_006.jpg,background,dominant,img_right,background_dominant_R
42,indoor_010.jpg,nature_007.jpg,form,asymmetrical,img_right,form_asymmetrical_R
43,urban_011.jpg,nature_004.jpg,form,asymmetrical,img_left,form_asymmetrical_L
44,urban_010.jpg,indoor_013.jpg,form,asymmetrical,img_left,form_asymmetrical_L
45,indoor_007.jpg,nature_008.jpg,size,big,img_left,size_big_L
46,urban_014.jpg,nature_015.jpg,background,dominant,img_right,background_dominant_R
47,nature_014.jpg,urban_009.jpg,background,contrary,img_left,background_contrary_L
48,indoor_003.jpg,urban_002.jpg,background,dominant,img_left,background_dominant_L
49,urban_004.jpg,indoor_006.jpg,form,symmetrical,img_left,form_symmetrical_L
50,urban_010.jpg,indoor_010.jpg,none,none,img_right,baseline_urban-indoor_R
51,nature_001.jpg,urban_011.jpg,size,small,img_right,size_small_R
52,indoor_001.jpg,nature_006.jpg,size,small,img_right,size_small_R
53,indoor_012.jpg,nature_002.jpg,background,contrary,img_right,background_contrary_R
54,urban_011.jpg,nature_003.jpg,form,symmetrical,img_left,form_symmetrical_L
55,indoor_013.jpg,urban_015.jpg,form,asymmetrical,img_right,form_asymmetrical_R
56,urban_001.jpg,nature_005.jpg,background,dominant,img_left,background_dominant_L
57,indoor_008.jpg,nature_014.jpg,size,big,img_left,size_big_L
58,indoor_014.jpg,urban_004.jpg,size,small,img_left,size_small_L
59,indoor_010.jpg,urban_012.jpg,form,symmetrical,img_left,form_symmetrical_L
60,nature_008.jpg,indoor_015.jpg,form,symmetrical,img_left,form_symmetrical_L
61,urban_005.jpg,nature_004.jpg,size,big,img_right,size_big_R
62,nature_012.jpg,indoor_011.jpg,background,dominant,img_left,background_dominant_L
63,indoor_013.jpg,nature_013.jpg,size,small,img_right,size_small_R
