trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,indoor_013.jpg,nature_013.jpg,none,none,img_left,baseline_indoor-nature_R
2,urban_009.jpg,nature_009.jpg,background,contrary,img_right,background_contrary_R
3,nature_005.jpg,urban_011.jpg,size,big,img_left,size_big_L
4,indoor_007.jpg,nature_007.jpg,size,small,img_right,size_small_R
5,nature_011.jpg,indoor_006.jpg,background,contrary,img_left,background_contrary_L
6,nature_009.jpg,indoor_012.jpg,form,symmetrical,img_right,form_symmetrical_R
7,urban_009.jpg,indoor_004.jpg,size,small,img_left,size_small_L
8,nature_009.jpg,urban_002.jpg,form,symmetrical,img_right,form_symmetrical_R
9,indoor_002.jpg,nature_009.jpg,form,symmetrical,img_left,form_symmetrical_L
10,nature_008.jpg,indoor_002.jpg,size,big,img_right,size_big_R
11,indoor_014.jpg,urban_005.jpg,size,big,img_left,size_big_L
12,indoor_014.jpg,nature_008.jpg,size,big,img_right,size_big_R
13,urban_002.jpg,nature_007.jpg,size,small,img_left,size_small_L
14,urban_007.jpg,indoor_009.jpg,form,asymmetrical,img_right,form_asymmetrical_R
15,indoor_008.jpg,urban_004.jpg,background,dominant,img_right,background_dominant_R
16,urban_006.jpg,nature_004.jpg,form,symmetrical,img_right,form_symmetrical_R
17,urban_012.jpg,indoor_010.jpg,form,symmetrical,img_right,form_symmetrical_R
18,indoor_005.jpg,nature_005.jpg,none,none,img_left,baseline_indoor-nature_R
19,nature_014.jpg,urban_008.jpg,size,big,img_right,size_big_R
20,urban_012.jpg,indoor_012.jpg,none,none,img_right,baseline_urban-indoor_R
21,urban_005.jpg,indoor_014.jpg,size,big,img_right,size_big_R
22,urban_001.jpg,indoor_003.jpg,form,asymmetrical,img_right,form_asymmetrical_R
23,urban_003.jpg,indoor_003.jpg,background,contrary,img_right,background_contrary_R
24,urban_015.jpg,nature_015.jpg,background,contrary,img_right,background_contrary_R
25,nature_003.jpg,urban_011.jpg,form,symmetrical,img_right,form_symmetrical_R
26,nature_002.jpg,urban_006.jpg,size,big,img_right,size_big_R
27,nature_004.jpg,urban_004.jpg,none,none,img_left,baseline_nature-urban_L
28,urban_010.jpg,indoor_014.jpg,background,dominant,img_left,background_dominant_L
29,nature_005.jpg,urban_012.jpg,form,symmetrical,img_left,form_symmetrical_L
30,nature_006.jpg,indoor_011.jpg,background,contrary,img_right,background_contrary_R
31,nature_014.jpg,indoor_003.jpg,size,big,img_right,size_big_R
32,nature_007.jpg,indoor_010.jpg,form,asymmetrical,img_left,form_asymmetrical_L
33,urban_014.jpg,indoor_005.jpg,size,big,img_left,size_big_L
34,nature_014.jpg,indoor_014.jpg,none,none,img_right,baseline_nature-indoor_L
35,urban_003.jpg,nature_015.jpg,form,symmetrical,img_left,form_symmetrical_L
36,indoor_014.jpg,urban_014.jpg,none,none,img_right,baseline_indoor-urban_L
37,nature_011.jpg,indoor_011.jpg,none,none,img_left,baseline_nature-indoor_L
38,urban_015.jpg,indoor_015.jpg,background,contrary,img_right,background_contrary_R
39,urban_001.jpg,indoor_001.jpg,none,none,img_right,baseline_urban-indoor_R
40,nature_014.jpg,urban_014.jpg,none,none,img_right,baseline_nature-urban_L
41,indoor_014.jpg,nature_014.jpg,none,none,img_right,baseline_indoor-nature_R
42,urban_007.jpg,indoor_007.jpg,none,none,img_left,baseline_urban-indoor_R
43,indoor_003.jpg,nature_014.jpg,size,big,img_left,size_big_L
44,nature_013.jpg,indoor_013.jpg,size,small,img_left,size_small_L
45,urban_010.jpg,nature_015.jpg,size,small,img_right,size_small_R
46,urban_012.jpg,indoor_005.jpg,form,symmetrical,img_right,form_symmetrical_R
47,nature_014.jpg,urban_006.jpg,form,symmetrical,img_left,form_symmetrical_L
48,nature_003.jpg,indoor_011.jpg,form,symmetrical,img_right,form_symmetrical_R
49,indoor_002.jpg,urban_013.jpg,background,dominant,img_right,background_dominant_R
50,indoor_011.jpg,nature_007.jpg,background,dominant,img_right,background_dominant_R
51,indoor_011.jpg,nature_006.jpg,background,contrary,img_left,background_contrary_L
52,nature_010.jpg,indoor_007.jpg,form,asymmetrical,img_right,form_asymmetrical_R
53,urban_007.jpg,nature_007.jpg,size,small,img_left,size_small_L
54,urban_001.jpg,nature_003.jpg,form,asymmetrical,img_right,form_asymmetrical_R
55,indoor_008.jpg,nature_002.jpg,size,big,img_right,size_big_R
56,urban_015.jpg,nature_015.jpg,none,none,img_left,baseline_urban-nature_R
57,indoor_013.jpg,urban_010.jpg,form,asymmetrical,img_right,form_asymmetrical_R
58,nature_003.jpg,indoor_003.jpg,none,none,img_right,baseline_nature-indoor_L
59,nature_012.jpg,urban_012.jpg,none,none,img_right,baseline_nature-urban_L
60,urban_006.jpg,nature_004.jpg,form,asymmetrical,img_left,form_asymmetrical_L
61,nature_006.jpg,indoor_002.jpg,size,big,img_left,size_big_L
62,indoor_015.jpg,urban_011.jpg,size,big,img_left,size_big_L
63,urban_015.jpg,nature_010.jpg,background,contrary,img_right,background_contrary_R
