trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,indoor_008.jpg,nature_012.jpg,size,big,img_right,size_big_R
2,nature_002.jpg,indoor_011.jpg,background,dominant,img_left,background_dominant_L
3,nature_004.jpg,urban_005.jpg,size,big,img_left,size_big_L
4,indoor_004.jpg,nature_001.jpg,form,asymmetrical,img_right,form_asymmetrical_R
5,nature_010.jpg,urban_010.jpg,size,small,img_left,size_small_L
6,indoor_008.jpg,urban_003.jpg,background,contrary,img_left,background_contrary_L
7,nature_002.jpg,indoor_002.jpg,none,none,img_left,baseline_nature-indoor_L
8,indoor_009.jpg,nature_009.jpg,none,none,img_right,baseline_indoor-nature_R
9,urban_011.jpg,nature_005.jpg,background,dominant,img_left,background_dominant_L
10,urban_005.jpg,indoor_015.jpg,background,contrary,img_left,background_contrary_L
11,urban_013.jpg,indoor_001.jpg,form,asymmetrical,img_left,form_asymmetrical_L
12,indoor_010.jpg,urban_014.jpg,background,dominant,img_left,background_dominant_L
13,indoor_002.jpg,nature_011.jpg,size,big,img_right,size_big_R
14,urban_005.jpg,indoor_005.jpg,none,none,img_right,baseline_urban-indoor_R
15,indoor_011.jpg,nature_002.jpg,size,big,img_left,size_big_L
16,indoor_001.jpg,nature_003.jpg,form,symmetrical,img_left,form_symmetrical_L
17,nature_010.jpg,urban_007.jpg,form,asymmetrical,img_right,form_asymmetrical_R
18,nature_009.jpg,urban_009.jpg,background,contrary,img_left,background_contrary_L
19,nature_007.jpg,urban_012.jpg,size,small,img_right,size_small_R
20,nature_006.jpg,indoor_006.jpg,background,contrary,img_left,background_contrary_L
21,nature_012.jpg,urban_012.jpg,background,contrary,img_right,background_contrary_R
22,indoor_012.jpg,nature_012.jpg,background,contrary,img_left,background_contrary_L
23,nature_012.jpg,indoor_002.jpg,background,contrary,img_right,background_contrary_R
24,urban_008.jpg,nature_013.jpg,size,small,img_left,size_small_L
25,urban_003.jpg,nature_013.jpg,background,contrary,img_right,background_contrary_R
26,urban_012.jpg,nature_005.jpg,form,symmetrical,img_right,form_symmetrical_R
27,nature_013.jpg,urban_008.jpg,size,small,img_right,size_small_R
28,indoor_009.jpg,urban_005.jpg,size,big,img_left,size_big_L
29,nature_007.jpg,indoor_012.jpg,size,small,img_right,size_small_R
30,indoor_001.jpg,nature_001.jpg,size,small,img_right,size_small_R
31,urban_015.jpg,indoor_005.jpg,background,contrary,img_right,background_contrary_R
32,indoor_005.jpg,nature_001.jpg,background,dominant,img_right,background_dominant_R
33,nature_006.jpg,indoor_005.jpg,background,dominant,img_left,background_dominant_L
34,nature_011.jpg,indoor_002.jpg,background,dominant,img_right,background_dominant_R
35,urban_011.jpg,indoor_010.jpg,size,big,img_right,size_big_R
36,urban_003.jpg,indoor_003.jpg,none,none,img_left,baseline_urban-indoor_R
37,urban_008.jpg,indoor_003.jpg,background,contrary,img_left,background_contrary_L
38,indoor_003.jpg,urban_003.jpg,background,contrary,img_left,background_contrary_L
39,indoor_003.jpg,urban_003.jpg,background,contrary,img_right,background_contrary_R
40,urban_008.jpg,nature_009.jpg,background,dominant,img_right,background_dominant_R
41,nature_002.jpg,urban_002.jpg,none,none,img_left,baseline_nature-urban_L
42,indoor_002.jpg,nature_002.jpg,none,none,img_left,baseline_indoor-nature_R
43,nature_011.jpg,urban_007.jpg,background,dominant,img_right,background_dominant_R
44,nature_003.jpg,indoor_006.jpg,form,symmetrical,img_right,form_symmetrical_R
45,nature_008.jpg,urban_001.jpg,form,asymmetrical,img_left,form_asymmetrical_L
46,urban_001.jpg,indoor_008.jpg,form,asymmetrical,img_right,form_asymmetrical_R
47,indoor_008.jpg,urban_009.jpg,background,dominant,img_right,background_dominant_R
48,nature_015.jpg,urban_012.jpg,form,symmetrical,img_left,form_symmetrical_L
49,nature_008.jpg,urban_008.jpg,none,none,img_right,baseline_nature-urban_L
50,urban_014.jpg,indoor_006.jpg,form,symmetrical,img_left,form_symmetrical_L
51,nature_003.jpg,urban_001.jpg,form,symmetrical,img_right,form_symmetrical_R
52,indoor_012.jpg,urban_015.jpg,form,symmetrical,img_right,form_symmetrical_R
53,indoor_007.jpg,nature_002.jpg,size,small,img_right,size_small_R
54,indoor_014.jpg,nature_003.jpg,size,big,img_right,size_big_R
55,indoor_002.jpg,nature_012.jpg,background,contrary,img_left,background_contrary_L
56,indoor_003.jpg,nature_001.jpg,form,symmetrical,img_right,form_symmetrical_R
57,indoor_006.jpg,nature_011.jpg,background,contrary,img_right,background_contrary_R
58,urban_005.jpg,nature_005.jpg,none,none,img_right,baseline_urban-nature_R
59,nature_002.jpg,indoor_006.jpg,size,big,img_right,size_big_R
60,nature_010.jpg,urban_012.jpg,form,asymmetrical,img_right,form_asymmetrical_R
61,urban_014.jpg,indoor_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
62,nature_004.jpg,urban_008.jpg,background,dominant,img_left,background_dominant_L
63,nature_007.jpg,indoor_007.jpg,size,small,img_left,size_small_L
