trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,nature_009.jpg,urban_006.jpg,form,symmetrical,img_left,form_symmetrical_L
2,urban_005.jpg,indoor_013.jpg,form,asymmetrical,img_left,form_asymmetrical_L
3,nature_001.jpg,indoor_001.jpg,none,none,img_left,baseline_nature-indoor_L
4,indoor_015.jpg,nature_008.jpg,form,symmetrical,img_right,form_symmetrical_R
5,urban_015.jpg,indoor_011.jpg,size,big,img_left,size_big_L
6,nature_015.jpg,indoor_008.jpg,form,symmetrical,img_right,form_symmetrical_R
7,nature_001.jpg,indoor_004.jpg,form,asymmetrical,img_left,form_asymmetrical_L
8,nature_002.jpg,indoor_007.jpg,size,small,img_left,size_small_L
9,urban_009.jpg,nature_014.jpg,background,contrary,img_right,background_contrary_R
10,indoor_015.jpg,urban_013.jpg,form,asymmetrical,img_left,form_asymmetrical_L
11,indoor_015.jpg,urban_015.jpg,none,none,img_right,baseline_indoor-urban_L
12,urban_008.jpg,nature_008.jpg,none,none,img_left,baseline_urban-nature_R
13,urban_003.jpg,indoor_003.jpg,background,contrary,img_left,background_contrary_L
14,indoor_010.jpg,urban_011.jpg,size,big,img_left,size_big_L
15,urban_007.jpg,nature_012.jpg,background,contrary,img_left,background_contrary_L
16,nature_004.jpg,urban_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
17,indoor_005.jpg,urban_004.jpg,size,big,img_right,size_big_R
18,urban_012.jpg,nature_007.jpg,size,small,img_left,size_small_L
19,nature_004.jpg,urban_006.jpg,form,symmetrical,img_left,form_symmetrical_L
20,urban_012.jpg,indoor_015.jpg,form,symmetrical,img_right,form_symmetrical_R
21,indoor_007.jpg,nature_012.jpg,background,contrary,img_left,background_contrary_L
22,urban_010.jpg,indoor_015.jpg,background,contrary,img_left,background_contrary_L
23,urban_013.jpg,nature_013.jpg,size,small,img_left,size_small_L
24,nature_015.jpg,urban_015.jpg,background,contrary,img_left,background_contrary_L
25,nature_014.jpg,indoor_008.jpg,size,big,img_right,size_big_R
26,indoor_015.jpg,urban_005.jpg,background,contrary,img_right,background_contrary_R
27,urban_014.jpg,nature_014.jpg,none,none,img_left,baseline_urban-nature_R
28,nature_001.jpg,indoor_006.jpg,size,small,img_right,size_small_R
29,urban_009.jpg,indoor_006.jpg,form,symmetrical,img_left,form_symmetrical_L
30,nature_007.jpg,indoor_007.jpg,size,small,img_right,size_small_R
31,urban_007.jpg,nature_014.jpg,form,asymmetrical,img_right,form_asymmetrical_R
32,urban_005.jpg,indoor_010.jpg,size,small,img_left,size_small_L
33,nature_001.jpg,indoor_011.jpg,size,small,img_right,size_small_R
34,urban_013.jpg,nature_014.jpg,size,big,img_left,size_big_L
35,indoor_006.jpg,nature_001.jpg,background,contrary,img_right,background_contrary_R
36,indoor_003.jpg,urban_003.jpg,none,none,img_right,baseline_indoor-urban_L
37,indoor_002.jpg,urban_008.jpg,background,dominant,img_right,background_dominant_R
38,urban_002.jpg,indoor_008.jpg,background,dominant,img_right,background_dominant_R
39,indoor_004.jpg,urban_006.jpg,form,symmetrical,img_left,form_symmetrical_L
40,nature_005.jpg,urban_006.jpg,background,dominant,img_right,background_dominant_R
41,indoor_011.jpg,urban_005.jpg,size,big,img_right,size_big_R
42,indoor_009.jpg,nature_012.jpg,form,symmetrical,img_right,form_symmetrical_R
43,indoor_011.jpg,nature_002.jpg,background,dominant,img_right,background_dominant_R
44,urban_005.jpg,indoor_012.jpg,form,symmetrical,img_left,form_symmetrical_L
45,urban_006.jpg,nature_002.jpg,size,big,img_left,size_big_L
46,urban_009.jpg,indoor_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
47,urban_006.jpg,indoor_004.jpg,form,symmetrical,img_right,form_symmetrical_R
48,indoor_013.jpg,urban_005.jpg,form,asymmetrical,img_right,form_asymmetrical_R
49,urban_002.jpg,nature_012.jpg,background,contrary,img_left,background_contrary_L
50,indoor_013.jpg,nature_013.jpg,size,small,img_left,size_small_L
51,nature_004.jpg,indoor_006.jpg,form,asymmetrical,img_right,form_asymmetrical_R
52,nature_011.jpg,urban_011.jpg,none,none,img_right,baseline_nature-urban_L
53,indoor_009.jpg,nature_002.jpg,form,symmetrical,img_right,form_symmetrical_R
54,urban_008.jpg,indoor_008.jpg,none,none,img_right,baseline_urban-indoor_R
55,indoor_008.jpg,nature_015.jpg,form,symmetrical,img_left,form_symmetrical_L
56,indoor_009.jpg,urban_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
57,indoor_005.jpg,urban_010.jpg,size,small,img_left,size_small_L
58,nature_011.jpg,indoor_012.jpg,background,dominant,img_right,background_dominant_R
59,nature_002.jpg,indoor_012.jpg,background,contrary,img_left,background_contrary_L
60,indoor_001.jpg,nature_004.jpg,form,asymmetrical,img_left,form_asymmetrical_L
61,nature_010.jpg,indoor_012.jpg,form,asymmetrical,img_right,form_asymmetrical_R
62,nature_005.jpg,urban_001.jpg,background,dominant,img_right,background_dominant_R
63,nature_005.jpg,indoor_001.jpg,background,dominant,img_right,background_dominant_R
