trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,urban_028.jpg,indoor_079.jpg,size,big,img_right,size_big_R
2,urban_033.jpg,indoor_018.jpg,form,symmetrical,img_left,form_symmetrical_L
3,urban_050.jpg,nature_068.jpg,form,asymmetrical,img_right,form_asymmetrical_R
4,urban_004.jpg,nature_037.jpg,size,small,img_left,size_small_L
5,urban_003.jpg,nature_057.jpg,background,contrary,img_right,background_contrary_R
6,nature_078.jpg,indoor_061.jpg,form,symmetrical,img_right,form_symmetrical_R
7,urban_096.jpg,indoor_038.jpg,background,dominant,img_left,background_dominant_L
8,urban_075.jpg,indoor_050.jpg,size,small,img_left,size_small_L
9,nature_050.jpg,indoor_039.jpg,form,asymmetrical,img_left,form_asymmetrical_L
10,urban_089.jpg,nature_010.jpg,background,contrary,img_left,background_contrary_L
11,urban_006.jpg,nature_032.jpg,background,contrary,img_left,background_contrary_L
12,urban_002.jpg,nature_029.jpg,background,dominant,img_right,background_dominant_R
13,urban_010.jpg,nature_023.jpg,background,contrary,img_left,background_contrary_L
14,urban_063.jpg,indoor_031.jpg,none,none,img_right,baseline_urban-indoor_R
15,urban_011.jpg,indoor_034.jpg,background,dominant,img_right,background_dominant_R
16,nature_094.jpg,indoor_064.jpg,size,small,img_right,size_small_R
17,urban_074.jpg,nature_025.jpg,form,symmetrical,img_right,form_symmetrical_R
18,nature_027.jpg,indoor_071.jpg,form,asymmetrical,img_left,form_asymmetrical_L
19,nature_070.jpg,indoor_082.jpg,size,small,img_left,size_small_L
20,urban_009.jpg,nature_015.jpg,background,contrary,img_left,background_contrary_L
21,urban_085.jpg,indoor_076.jpg,none,none,img_left,baseline_urban-indoor_L
22,urban_034.jpg,nature_011.jpg,form,symmetrical,img_left,form_symmetrical_L
23,urban_070.jpg,indoor_055.jpg,size,big,img_left,size_big_L
24,nature_065.jpg,indoor_008.jpg,none,none,img_right,baseline_nature-indoor_R
25,nature_031.jpg,indoor_069.jpg,size,big,img_left,size_big_L
26,urban_017.jpg,nature_081.jpg,background,contrary,img_left,background_contrary_L
27,urban_060.jpg,nature_072.jpg,background,contrary,img_right,background_contrary_R
