trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,urban_057.jpg,indoor_082.jpg,size,small,img_left,size_small_L
2,nature_057.jpg,indoor_031.jpg,background,dominant,img_right,background_dominant_R
3,urban_085.jpg,indoor_004.jpg,size,small,img_right,size_small_R
4,urban_058.jpg,indoor_100.jpg,size,big,img_left,size_big_L
5,urban_099.jpg,nature_017.jpg,form,asymmetrical,img_left,form_asymmetrical_L
6,urban_079.jpg,nature_001.jpg,size,big,img_right,size_big_R
7,urban_062.jpg,indoor_030.jpg,size,big,img_left,size_big_L
8,urban_013.jpg,nature_007.jpg,background,contrary,img_right,background_contrary_R
9,urban_044.jpg,indoor_088.jpg,size,small,img_right,size_small_R
10,nature_048.jpg,indoor_094.jpg,form,asymmetrical,img_right,form_asymmetrical_R
11,nature_088.jpg,indoor_074.jpg,none,none,img_left,baseline_nature-indoor_L
12,urban_037.jpg,nature_061.jpg,none,none,img_left,baseline_urban-nature_L
13,urban_010.jpg,indoor_059.jpg,size,big,img_right,size_big_R
14,urban_087.jpg,indoor_091.jpg,size,big,img_right,size_big_R
15,urban_054.jpg,indoor_089.jpg,form,symmetrical,img_left,form_symmetrical_L
16,nature_072.jpg,indoor_068.jpg,form,symmetrical,img_right,form_symmetrical_R
17,urban_066.jpg,indoor_010.jpg,size,small,img_right,size_small_R
18,nature_038.jpg,indoor_009.jpg,size,small,img_left,size_small_L
19,urban_003.jpg,indoor_025.jpg,form,symmetrical,img_right,form_symmetrical_R
20,urban_077.jpg,indoor_050.jpg,background,dominant,img_right,background_dominant_R
21,nature_029.jpg,indoor_079.jpg,size,small,img_left,size_small_L
22,urban_096.jpg,indoor_096.jpg,background,contrary,img_right,background_contrary_R
23,nature_090.jpg,indoor_033.jpg,size,small,img_left,size_small_L
24,nature_021.jpg,indoor_092.jpg,form,symmetrical,img_left,form_symmetrical_L
25,urban_071.jpg,indoor_005.jpg,none,none,img_right,baseline_urban-indoor_R
26,urban_059.jpg,nature_084.jpg,size,small,img_right,size_small_R
27,nature_022.jpg,indoor_001.jpg,size,big,img_left,size_big_L
28,urban_069.jpg,nature_051.jpg,form,symmetrical,img_right,form_symmetrical_R
29,nature_005.jpg,indoor_065.jpg,background,contrary,img_left,background_contrary_L
30,urban_041.jpg,nature_052.jpg,background,dominant,img_right,background_dominant_R
31,urban_080.jpg,nature_060.jpg,size,big,img_right,size_big_R
32,urban_086.jpg,indoor_008.jpg,none,none,img_right,baseline_urban-indoor_R
33,urban_034.jpg,nature_042.jpg,form,symmetrical,img_right,form_symmetrical_R
34,urban_051.jpg,nature_012.jpg,background,contrary,img_right,background_contrary_R
35,urban_020.jpg,indoor_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
36,urban_024.jpg,nature_037.jpg,background,contrary,img_left,background_contrary_L
37,urban_063.jpg,nature_002.jpg,none,none,img_left,baseline_urban-nature_L
38,urban_084.jpg,nature_085.jpg,size,small,img_right,size_small_R
39,urban_023.jpg,nature_006.jpg,none,none,img_left,baseline_urban-nature_L
40,urban_081.jpg,nature_086.jpg,form,symmetrical,img_right,form_symmetrical_R
41,urban_060.jpg,indoor_046.jpg,background,dominant,img_right,background_dominant_R
42,nature_062.jpg,indoor_037.jpg,size,small,img_left,size_small_L
43,urban_039.jpg,nature_050.jpg,form,symmetrical,img_right,form_symmetrical_R
44,nature_044.jpg,indoor_048.jpg,none,none,img_left,baseline_nature-indoor_L
45,urban_075.jpg,indoor_022.jpg,form,asymmetrical,img_right,form_asymmetrical_R
46,nature_095.jpg,indoor_029.jpg,form,symmetrical,img_right,form_symmetrical_R
47,nature_081.jpg,indoor_062.jpg,size,small,img_right,size_small_R
48,urban_100.jpg,nature_089.jpg,none,none,img_right,baseline_urban-nature_R
49,urban_048.jpg,indoor_054.jpg,form,asymmetrical,img_right,form_asymmetrical_R
50,nature_087.jpg,indoor_040.jpg,none,none,img_left,baseline_nature-indoor_L
51,urban_016.jpg,indoor_053.jpg,form,symmetrical,img_left,form_symmetrical_L
52,nature_028.jpg,indoor_003.jpg,background,contrary,img_right,background_contrary_R
53,urban_094.jpg,indoor_019.jpg,none,none,img_right,baseline_urban-indoor_R
54,urban_009.jpg,nature_035.jpg,form,symmetrical,img_right,form_symmetrical_R
55,nature_032.jpg,indoor_057.jpg,size,small,img_left,size_small_L
56,urban_017.jpg,indoor_087.jpg,size,big,img_left,size_big_L
57,nature_055.jpg,indoor_066.jpg,background,contrary,img_left,background_contrary_L
58,urban_089.jpg,indoor_006.jpg,none,none,img_right,baseline_urban-indoor_R
59,urban_033.jpg,indoor_039.jpg,background,contrary,img_right,background_contrary_R
60,urban_012.jpg,nature_099.jpg,form,symmetrical,img_right,form_symmetrical_R
61,urban_040.jpg,nature_064.jpg,form,asymmetrical,img_right,form_asymmetrical_R
62,nature_045.jpg,indoor_027.jpg,form,asymmetrical,img_right,form_asymmetrical_R
63,urban_067.jpg,indoor_073.jpg,background,dominant,img_left,background_dominant_L
64,urban_078.jpg,nature_063.jpg,none,none,img_right,baseline_urban-nature_R
65,nature_018.jpg,indoor_014.jpg,none,none,img_left,baseline_nature-indoor_L
66,nature_093.jpg,indoor_069.jpg,size,big,img_right,size_big_R
67,urban_032.jpg,nature_077.jpg,size,small,img_right,size_small_R
68,urban_022.jpg,nature_066.jpg,background,dominant,img_left,background_dominant_L
69,urban_072.jpg,indoor_016.jpg,none,none,img_right,baseline_urban-indoor_R
70,urban_068.jpg,nature_040.jpg,form,asymmetrical,img_left,form_asymmetrical_L
71,urban_055.jpg,nature_078.jpg,background,dominant,img_right,background_dominant_R
72,nature_079.jpg,indoor_020.jpg,form,asymmetrical,img_left,form_asymmetrical_L
73,urban_028.jpg,indoor_072.jpg,background,dominant,img_left,background_dominant_L
74,nature_082.jpg,indoor_002.jpg,form,asymmetrical,img_left,form_asymmetrical_L
75,nature_071.jpg,indoor_093.jpg,background,contrary,img_left,background_contrary_L
76,urban_011.jpg,nature_049.jpg,form,asymmetrical,img_left,form_asymmetrical_L
77,urban_002.jpg,nature_074.jpg,none,none,img_right,baseline_urban-nature_R
78,urban_004.jpg,indoor_099.jpg,none,none,img_left,baseline_urban-indoor_L
79,nature_047.jpg,indoor_077.jpg,none,none,img_right,baseline_nature-indoor_R
80,nature_016.jpg,indoor_013.jpg,background,contrary,img_right,background_contrary_R
81,nature_097.jpg,indoor_034.jpg,background,dominant,img_right,background_dominant_R
82,nature_059.jpg,indoor_047.jpg,background,dominant,img_left,background_dominant_L
83,urban_045.jpg,indoor_070.jpg,background,contrary,img_right,background_contrary_R
84,urban_076.jpg,indoor_051.jpg,background,contrary,img_right,background_contrary_R
85,nature_033.jpg,indoor_063.jpg,background,contrary,img_right,background_contrary_R
86,urban_042.jpg,nature_034.jpg,background,contrary,img_left,background_contrary_L
87,nature_096.jpg,indoor_095.jpg,form,asymmetrical,img_left,form_asymmetrical_L
88,urban_064.jpg,nature_068.jpg,form,symmetrical,img_right,form_symmetrical_R
89,urban_014.jpg,indoor_044.jpg,form,asymmetrical,img_left,form_asymmetrical_L
90,urban_029.jpg,indoor_012.jpg,none,none,img_right,baseline_urban-indoor_R
91,nature_027.jpg,indoor_086.jpg,size,big,img_right,size_big_R
92,nature_098.jpg,indoor_060.jpg,none,none,img_left,baseline_nature-indoor_L
93,nature_008.jpg,indoor_061.jpg,background,contrary,img_left,background_contrary_L
94,urban_073.jpg,nature_025.jpg,size,small,img_right,size_small_R
95,nature_013.jpg,indoor_026.jpg,none,none,img_left,baseline_nature-indoor_L
96,nature_024.jpg,indoor_075.jpg,background,dominant,img_left,background_dominant_L
97,nature_003.jpg,indoor_052.jpg,background,dominant,img_right,background_dominant_R
98,urban_026.jpg,indoor_084.jpg,background,dominant,img_right,background_dominant_R
99,urban_098.jpg,indoor_056.jpg,none,none,img_right,baseline_urban-indoor_R
100,urban_018.jpg,indoor_085.jpg,size,small,img_right,size_small_R
101,urban_001.jpg,nature_014.jpg,size,big,img_right,size_big_R
102,urban_056.jpg,indoor_041.jpg,background,dominant,img_left,background_dominant_L
103,urban_061.jpg,indoor_045.jpg,none,none,img_left,baseline_urban-indoor_L
104,nature_039.jpg,indoor_035.jpg,size,small,img_left,size_small_L
105,urban_052.jpg,indoor_083.jpg,form,symmetrical,img_right,form_symmetrical_R
106,urban_093.jpg,indoor_021.jpg,form,asymmetrical,img_left,form_asymmetrical_L
107,nature_069.jpg,indoor_080.jpg,background,dominant,img_left,background_dominant_L
108,nature_073.jpg,indoor_064.jpg,form,asymmetrical,img_left,form_asymmetrical_L
109,urban_095.jpg,indoor_098.jpg,size,big,img_left,size_big_L
110,urban_047.jpg,nature_043.jpg,background,contrary,img_right,background_contrary_R
111,urban_046.jpg,indoor_011.jpg,form,asymmetrical,img_right,form_asymmetrical_R
112,urban_035.jpg,indoor_058.jpg,none,none,img_right,baseline_urban-indoor_R
113,urban_070.jpg,indoor_042.jpg,form,symmetrical,img_right,form_symmetrical_R
114,urban_015.jpg,nature_080.jpg,size,big,img_right,size_big_R
115,urban_038.jpg,indoor_023.jpg,size,big,img_left,size_big_L
116,urban_091.jpg,indoor_028.jpg,none,none,img_right,baseline_urban-indoor_R
117,urban_005.jpg,indoor_071.jpg,size,big,img_right,size_big_R
118,urban_092.jpg,indoor_067.jpg,form,symmetrical,img_left,form_symmetrical_L
119,urban_049.jpg,indoor_055.jpg,size,big,img_right,size_big_R
120,nature_054.jpg,indoor_036.jpg,background,dominant,img_right,background_dominant_R
