trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,indoor_083.jpg,urban_052.jpg,size,small,img_right,size_small_R
2,indoor_026.jpg,nature_013.jpg,none,none,img_left,baseline_indoor-nature_L
3,indoor_093.jpg,nature_071.jpg,form,symmetrical,img_left,form_symmetrical_L
4,indoor_012.jpg,urban_029.jpg,none,none,img_left,baseline_indoor-urban_L
5,indoor_096.jpg,urban_096.jpg,form,asymmetrical,img_left,form_asymmetrical_L
6,indoor_037.jpg,nature_062.jpg,size,small,img_left,size_small_L
7,indoor_075.jpg,nature_024.jpg,form,symmetrical,img_left,form_symmetrical_L
8,indoor_003.jpg,nature_028.jpg,form,asymmetrical,img_right,form_asymmetrical_R
9,indoor_045.jpg,urban_061.jpg,none,none,img_left,baseline_indoor-urban_L
10,indoor_010.jpg,urban_066.jpg,background,contrary,img_right,background_contrary_R
11,nature_084.jpg,urban_059.jpg,form,asymmetrical,img_left,form_asymmetrical_L
12,nature_017.jpg,urban_099.jpg,form,symmetrical,img_left,form_symmetrical_L
13,indoor_084.jpg,urban_026.jpg,background,contrary,img_left,background_contrary_L
14,indoor_057.jpg,nature_032.jpg,form,asymmetrical,img_right,form_asymmetrical_R
15,nature_089.jpg,urban_100.jpg,none,none,img_left,baseline_nature-urban_L
16,indoor_082.jpg,urban_057.jpg,form,symmetrical,img_right,form_symmetrical_R
17,indoor_052.jpg,nature_003.jpg,form,symmetrical,img_right,form_symmetrical_R
18,indoor_098.jpg,urban_095.jpg,background,contrary,img_right,background_contrary_R
19,nature_060.jpg,urban_080.jpg,background,dominant,img_left,background_dominant_L
20,nature_006.jpg,urban_023.jpg,none,none,img_right,baseline_nature-urban_R
21,indoor_021.jpg,urban_093.jpg,form,asymmetrical,img_left,form_asymmetrical_L
22,nature_099.jpg,urban_012.jpg,size,small,img_left,size_small_L
23,nature_077.jpg,urban_032.jpg,form,symmetrical,img_left,form_symmetrical_L
24,indoor_054.jpg,urban_048.jpg,size,big,img_left,size_big_L
25,indoor_006.jpg,urban_089.jpg,none,none,img_right,baseline_indoor-urban_R
26,indoor_016.jpg,urban_072.jpg,none,none,img_right,baseline_indoor-urban_R
27,indoor_042.jpg,urban_070.jpg,size,big,img_left,size_big_L
28,indoor_041.jpg,urban_056.jpg,background,contrary,img_left,background_contrary_L
29,nature_043.jpg,urban_047.jpg,background,contrary,img_left,background_contrary_L
30,indoor_014.jpg,nature_018.jpg,none,none,img_left,baseline_indoor-nature_L
31,indoor_027.jpg,nature_045.jpg,background,dominant,img_left,background_dominant_L
32,indoor_025.jpg,urban_003.jpg,form,symmetrical,img_left,form_symmetrical_L
33,indoor_028.jpg,urban_091.jpg,none,none,img_left,baseline_indoor-urban_L
34,indoor_094.jpg,nature_048.jpg,size,small,img_right,size_small_R
35,indoor_046.jpg,urban_060.jpg,background,contrary,img_right,background_contrary_R
36,indoor_088.jpg,urban_044.jpg,size,big,img_left,size_big_L
37,nature_063.jpg,urban_078.jpg,none,none,img_left,baseline_nature-urban_L
38,nature_049.jpg,urban_011.jpg,size,big,img_right,size_big_R
39,indoor_074.jpg,nature_088.jpg,none,none,img_left,baseline_indoor-nature_L
40,indoor_048.jpg,nature_044.jpg,none,none,img_right,baseline_indoor-nature_R
41,indoor_079.jpg,nature_029.jpg,size,small,img_left,size_small_L
42,indoor_019.jpg,urban_094.jpg,none,none,img_left,baseline_indoor-urban_L
43,indoor_086.jpg,nature_027.jpg,size,small,img_left,size_small_L
